00111111 00111100 00111100 11111100		3F 3C 3C FC
00111111 11111110 01111111 11111100		3F FE 7F FC
00001111 11111111 11111111 11110000		0F FF FF F0
00000011 11111111 11111111 11000000		03 FF FF C0
00000001 01111111 11111110 10000000		01 7F FE 80
00000001 00111111 11111100 10000000		01 3F FC 80
00000001 00111111 11111100 10000000		01 3F FC 80
00000001 00111111 11111100 10000000		01 3B DC 80

00000001 00111011 11011100 10000000		01 3B DC 80
00000000 00011010 01011000 00000000		00 1A 58 00
00000000 00011010 01011000 00000000		00 1A 58 00
00000000 00011010 01011000 00000000		00 1A 58 00
00000000 00001010 01010000 00000000		00 0A 50 00
00000000 00001010 01010000 00000000		00 0A 50 00
00000000 00001010 01010000 00000000		00 0A 50 00
00000000 00000010 01000000 00000000		00 02 40 00

00011000	18
00011000	18
00011000	18
00011000	18	
01011010	5a
01011010	5a
11111111	ff
01100110	66

00100100	24
00100100	24
11111111	ff
11111111	ff
01111110	7e
00100100	24
00100100	24
00000000	00

00100100	24
00100100	24
01111110	7e
11111111	ff
01111110	7E
00111100	3c
00100100	24
00100100	24
